symbol,listDate,fullname,listed Price,Rate,List Price MNT
CTR,2021-12-13 20:02:22,Creator Platform,0.3337,2849.36,950.831
MATIC,2021-12-13 20:02:22,Polygon,1.8184,2849.36,5181.276
IOTX,2021-12-13 20:02:22,IoTeX,0.1199,2849.36,341.638
SHIB,2021-12-13 20:02:22,Shiba Inu,0.00003665,2849.36,0.104
TVK,2021-12-13 20:02:22,Virtua,0.2434,2849.36,693.534
FRONT,2021-12-13 20:02:22,Frontier,0.649,2849.36,1849.235
DOCK,2021-12-13 20:02:22,Dock,0.0621,2849.36,176.945
STX,2021-12-13 20:02:22,Stacks,1.8681,2849.36,5322.889
PNT,2021-12-13 20:02:22,pNetwork,0.8999,2849.36,2564.139
QI,2021-12-13 20:02:22,BENQI,0.1716,2849.36,488.950
DENT,2021-12-13 20:02:22,Dent,0.003526,2849.36,10.047
MBOX,2021-12-13 20:02:22,MOBOX,6.1459,2849.36,17511.882
SUB,2021-12-13 20:02:22,Substratum,0.002631,2849.36,7.497
POA,2021-12-13 20:02:22,POA Network,0.4228,2849.36,1204.709
IOST,2021-12-13 20:02:22,IOST,0.03208,2849.36,91.407
CAKE,2021-12-13 20:02:22,PancakeSwap,11.65,2849.36,33195.044
POE,2021-12-13 20:02:22,Po.et,0.00009,2849.36,0.256
OMG,2021-12-13 20:02:22,OMG Network,17.37,2849.36,49493.383
BAND,2021-12-13 20:02:22,Band Protocol,5.311,2849.36,15132.951
SUN,2021-12-13 20:02:22,Sun (New),0.02733,2849.36,77.873
ASTR,2021-12-13 20:02:22,Astar,N/a,N/A,N/A
SUNOLD,2021-12-13 20:02:22,FULLNAME NOT FOUND,N/A,N/A,N/A
BTC,2021-12-13 20:02:22,Bitcoin,50114.7,2849.36,142794821.592
TWT,2021-12-13 20:02:22,Trust Wallet Token,0.7778,2849.36,2216.232
NKN,2021-12-13 20:02:22,NKN,0.332,2849.36,945.988
RSR,2021-12-13 20:02:22,Reserve Rights,0.03416,2849.36,97.334
IOTA,2021-12-13 20:02:22,FULLNAME NOT FOUND,N/A,N/A,N/A
CVC,2021-12-13 20:02:22,Civic,0.3576,2849.36,1018.931
REEF,2021-12-13 20:02:22,Reef,0.01925,2849.36,54.850
BTG,2021-12-13 20:02:22,Bitcoin Gold,45.15,2849.36,128648.604
MIR,2021-12-13 20:02:22,Mirror Protocol,2.43,2849.36,6923.945
ARK,2021-12-13 20:02:22,Ark,1.2901,2849.36,3675.959
BTM,2021-12-13 20:02:22,Bytom,0.04107,2849.36,117.023
CVP,2021-12-13 20:02:22,PowerPool,1.2022,2849.36,3425.501
ARN,2021-12-13 20:02:22,FULLNAME NOT FOUND,N/a,2849.36,N/A
KEY,2021-12-13 20:02:22,SelfKey,0.01261,2849.36,35.930
BTS,2021-12-13 20:02:22,BitShares,0.03395,2849.36,96.736
SPARTAOLD,2021-12-13 20:02:22,FULLNAME NOT FOUND,N/A,N/A,N/A
ONE,2021-12-13 20:02:22,Harmony,0.168,2849.36,478.692
ONG,2021-12-13 20:02:22,Ontology Gas,0.8522,2849.36,2428.225
ANKR,2021-12-13 20:02:22,Ankr,0.1061,2849.36,302.317
SUSHI,2021-12-13 20:02:22,SushiSwap,5.588,2849.36,15922.224
ALGO,2021-12-13 20:02:22,Algorand,1.5423,2849.36,4394.568
ZCX,2021-12-13 20:02:22,Unizen,3.4372,2849.36,9793.820
SC,2021-12-13 20:02:22,Siacoin,0.01661,2849.36,47.328
WBTC,2021-12-13 20:02:22,Wrapped Bitcoin,48759.3,2849.36,138932799.048
ONT,2021-12-13 20:02:22,Ontology,0.7281,2849.36,2074.619
PPT,2021-12-13 20:02:22,Populous,0.655,2849.36,1866.331
ONX,2021-12-13 20:02:22,ownix,0.5224,2849.36,1488.506
PIVX,2021-12-13 20:02:22,PIVX,0.5488,2849.36,1563.729
ASR,2021-12-13 20:02:22,AS Roma Fan Token,0.01661,2849.36,47.328
FIRO,2021-12-13 20:02:22,Firo,5.2894,2849.36,15071.405
AXSOLD,2021-12-13 20:02:22,FULLNAME NOT FOUND,N/a,N/A,N/A
AST,2021-12-13 20:02:22,AirSwap,0.3107,2849.36,885.296
MANA,2021-12-13 20:02:22,Decentraland,3.631,2849.36,10346.026
ATA,2021-12-13 20:02:22,Automata Network,0.7096,2849.36,2021.906
MEETONE,2021-12-13 20:02:22,MEET.ONE,0.004064,2849.36,11.580
QSP,2021-12-13 20:02:22,Quantstamp,0.04913,2849.36,139.989
ATD,2021-12-13 20:02:22,Catapult,1.6498,2849.36,4700.874
NMR,2021-12-13 20:02:22,Numeraire,34.09,2849.36,97134.682
MKR,2021-12-13 20:02:22,Maker,2447.71,2849.36,6974406.966
DODO,2021-12-13 20:02:22,DODO,0.923,2849.36,2629.959
LIT,2021-12-13 20:02:22,Litentry,3.1883,2849.36,9084.614
ICP,2021-12-13 20:02:22,Internet Computer,28.51,2849.36,81235.254
ZEC,2021-12-13 20:02:22,Zcash,36.93,2849.36,105226.865
CREAM,2021-12-13 20:02:22,Cream Finance,36.99,2849.36,105397.826
DATA,2021-12-13 20:02:22,Streamr,0.1245,2849.36,354.745
ENTRP,2021-12-13 20:02:22,Hut34 Entropy,N/A,2849.36,N/A
LTC,2021-12-13 20:02:22,Litecoin,44.45,2849.36,126654.052
USDC,2021-12-13 20:02:22,USD Coin,1.0033,2849.36,2858.763
WIN,2021-12-13 20:02:22,WINkLink,0.0005202,2849.36,1.482
INJ,2021-12-13 20:02:22,Injective,8.2054,2849.36,23380.139
TCT,2021-12-13 20:02:22,TokenClub,0.03949,2849.36,112.521
PARA,2021-12-13 20:02:22,Paralink Network,0.02257,2849.36,64.310
LTO,2021-12-13 20:02:22,LTO Network,0.3048,2849.36,868.485
VGX,2021-12-13 20:02:22,Voyager Token,3.1625,2849.36,9011.101
TRIBE,2021-12-13 20:02:22,Tribe,1.0202,2849.36,2906.917
NXS,2021-12-13 20:02:22,Nexus,0.4814,2849.36,1371.682
EFI,2021-12-13 20:02:22,Efinity Token,1.2889,2849.36,3672.540
DYDX,2021-12-13 20:02:22,dYdX,9.0129,2849.36,25680.997
